customer_state,total_orders,total_revenue,avg_delivery_days,late_pct,avg_review_score
SP,40483,5091352.15,8.3,5.7,4.18
RJ,12349,1765916.98,14.7,13.0,3.87
MG,11354,1558668.28,11.5,5.4,4.12
RS,5344,732241.8,14.7,6.9,4.09
PR,4923,668891.26,11.5,4.8,4.14
SC,3546,508578.9,14.5,9.6,4.05
BA,3255,494816.99,18.8,13.7,3.87
DF,2080,298492.74,12.5,7.5,4.06
GO,1957,285780.24,14.9,7.9,4.04
ES,1995,269230.52,15.2,12.2,4.02
PE,1593,252903.1,17.8,10.1,4.02
CE,1279,220434.27,20.5,15.3,3.87
PA,946,174952.64,23.3,12.3,3.84
MT,886,152479.32,17.5,6.7,4.01
MA,717,117205.26,21.1,20.2,3.77
MS,701,116835.04,15.1,10.8,4.07
PB,517,112676.72,20.1,11.2,4.04
PI,476,84781.0,18.9,15.5,3.96
RN,474,82158.97,18.9,10.3,4.11
AL,397,79059.68,24.0,24.1,3.82
SE,335,56574.19,21.0,16.3,3.9
TO,274,48402.51,17.0,12.3,4.16
RO,243,45682.76,19.3,4.0,4.07
AM,145,22211.74,25.9,4.3,4.09
AC,80,15930.97,20.3,3.3,4.13
AP,67,13374.81,27.8,4.9,4.26
RR,41,7057.47,27.8,10.9,3.89
